Subscribing to 13 datarefs at 5 Hz...
  [ 0] frame_time_s              = sim/operation/misc/frame_rate_period
  [ 1] gpu_time_s                = sim/time/gpu_time_per_frame_sec_approx
  [ 2] framerate_period_s        = sim/time/framerate_period
  [ 3] lat                       = sim/flightmodel/position/latitude
  [ 4] lon                       = sim/flightmodel/position/longitude
  [ 5] elev_m                    = sim/flightmodel/position/elevation
  [ 6] agl_m                     = sim/flightmodel/position/y_agl
  [ 7] gs_ms                     = sim/flightmodel/position/groundspeed
  [ 8] ias_ms                    = sim/flightmodel/position/indicated_airspeed
  [ 9] tas_ms                    = sim/flightmodel/position/true_airspeed
  [10] sim_time_s                = sim/time/total_running_time_sec
  [11] paused                    = sim/time/paused
  [12] sim_speed                 = sim/time/sim_speed
  No response (attempt 1), retrying in 2s...
  No response (attempt 2), retrying in 2s...
  No response (attempt 3), retrying in 2s...
  No response (attempt 4), retrying in 3s...
  No response (attempt 5), retrying in 4s...
  No response (attempt 6), retrying in 4s...
  No response (attempt 7), retrying in 4s...
  No response (attempt 8), retrying in 5s...
Connected — receiving data from X-Plane (attempt 9)

Recording at 5 Hz to monitoring/run_ae/xplane_telemetry.csv
Max duration: 7200s. Press Ctrl+C to stop.

[  822.6s] FPS=29.7  CPU=13.85ms  GPU=19.77ms  Lat=47.453259  GS=0.0kts  (3727 samples)
[  832.8s] FPS=29.4  CPU=13.84ms  GPU=20.16ms  Lat=47.453259  GS=0.0kts  (3774 samples)
[  843.0s] FPS=29.8  CPU=12.80ms  GPU=20.77ms  Lat=47.453259  GS=0.0kts  (3821 samples)
[  853.1s] FPS=29.9  CPU=12.85ms  GPU=20.63ms  Lat=47.453259  GS=0.0kts  (3867 samples)
[  863.2s] FPS=30.2  CPU=12.83ms  GPU=20.25ms  Lat=47.453259  GS=0.0kts  (3913 samples)
[  873.4s] FPS=29.9  CPU=13.28ms  GPU=20.15ms  Lat=47.453259  GS=0.0kts  (3959 samples)
[  883.5s] FPS=29.9  CPU=12.83ms  GPU=20.62ms  Lat=47.453259  GS=0.0kts  (4005 samples)
[  893.6s] FPS=29.8  CPU=12.93ms  GPU=20.66ms  Lat=47.453259  GS=0.0kts  (4051 samples)
[  903.7s] FPS=31.4  CPU=10.72ms  GPU=21.16ms  Lat=47.453259  GS=0.0kts  (4098 samples)
[  913.8s] FPS=28.2  CPU=14.74ms  GPU=20.70ms  Lat=47.453259  GS=0.0kts  (4144 samples)
[  924.0s] FPS=27.3  CPU=15.17ms  GPU=21.48ms  Lat=47.453259  GS=0.0kts  (4190 samples)
[  934.1s] FPS=28.2  CPU=13.97ms  GPU=21.52ms  Lat=47.453259  GS=0.0kts  (4237 samples)
[  944.3s] FPS=30.5  CPU=11.19ms  GPU=21.62ms  Lat=47.453259  GS=0.0kts  (4283 samples)
[  954.4s] FPS=41.1  CPU=2.13ms  GPU=22.20ms  Lat=47.453259  GS=0.0kts  (4330 samples)
[  964.6s] FPS=29.9  CPU=12.81ms  GPU=20.58ms  Lat=47.453259  GS=0.0kts  (4377 samples)
[  974.7s] FPS=26.6  CPU=16.02ms  GPU=21.63ms  Lat=47.453259  GS=0.0kts  (4424 samples)
[  984.9s] FPS=26.6  CPU=15.12ms  GPU=22.41ms  Lat=47.453259  GS=0.0kts  (4470 samples)
[  995.1s] FPS=27.6  CPU=13.89ms  GPU=22.28ms  Lat=47.453259  GS=0.0kts  (4517 samples)
[ 1005.1s] FPS=29.3  CPU=12.80ms  GPU=21.30ms  Lat=47.453259  GS=0.0kts  (4563 samples)
[ 1015.2s] FPS=30.7  CPU=10.17ms  GPU=22.45ms  Lat=47.453259  GS=0.0kts  (4608 samples)
[ 1025.3s] FPS=27.6  CPU=13.52ms  GPU=22.68ms  Lat=47.453259  GS=0.0kts  (4654 samples)
[ 1035.4s] FPS=32.0  CPU=8.34ms  GPU=22.91ms  Lat=47.453259  GS=0.0kts  (4700 samples)
[ 1045.5s] FPS=29.3  CPU=11.39ms  GPU=22.74ms  Lat=47.453259  GS=0.0kts  (4746 samples)
[ 1055.6s] FPS=36.1  CPU=4.56ms  GPU=23.16ms  Lat=47.453259  GS=0.0kts  (4792 samples)
[ 1065.7s] FPS=31.8  CPU=9.51ms  GPU=21.97ms  Lat=47.453259  GS=0.0kts  (4838 samples)
[ 1075.8s] FPS=29.3  CPU=11.98ms  GPU=22.14ms  Lat=47.453259  GS=0.0kts  (4884 samples)
[ 1085.9s] FPS=30.1  CPU=11.58ms  GPU=21.70ms  Lat=47.453259  GS=0.0kts  (4930 samples)
[ 1096.0s] FPS=28.8  CPU=13.31ms  GPU=21.39ms  Lat=47.453259  GS=0.0kts  (4976 samples)
[ 1106.0s] FPS=29.4  CPU=12.60ms  GPU=21.42ms  Lat=47.453259  GS=0.0kts  (5021 samples)
[ 1116.1s] FPS=28.0  CPU=13.59ms  GPU=22.08ms  Lat=47.453259  GS=0.0kts  (5067 samples)
[ 1126.3s] FPS=28.6  CPU=15.17ms  GPU=19.74ms  Lat=47.453259  GS=0.0kts  (5114 samples)
[ 1136.5s] FPS=29.7  CPU=11.82ms  GPU=21.84ms  Lat=47.453259  GS=0.0kts  (5161 samples)
[ 1146.7s] FPS=40.8  CPU=5.20ms  GPU=19.28ms  Lat=47.453259  GS=0.0kts  (5207 samples)
[ 1156.7s] FPS=29.4  CPU=14.81ms  GPU=19.21ms  Lat=47.453259  GS=0.0kts  (5252 samples)
[ 1166.9s] FPS=29.8  CPU=13.99ms  GPU=19.57ms  Lat=47.453259  GS=0.0kts  (5299 samples)
[ 1177.1s] FPS=30.1  CPU=12.69ms  GPU=20.55ms  Lat=47.453259  GS=0.0kts  (5346 samples)
[ 1187.1s] FPS=29.6  CPU=14.56ms  GPU=19.22ms  Lat=47.453259  GS=0.0kts  (5392 samples)
[ 1197.2s] FPS=30.5  CPU=12.55ms  GPU=20.26ms  Lat=47.453259  GS=0.0kts  (5438 samples)
[ 1207.3s] FPS=34.6  CPU=9.38ms  GPU=19.50ms  Lat=47.453259  GS=0.0kts  (5484 samples)
[ 1217.5s] FPS=30.3  CPU=13.36ms  GPU=19.60ms  Lat=47.453259  GS=0.0kts  (5530 samples)
[ 1227.6s] FPS=28.1  CPU=14.34ms  GPU=21.25ms  Lat=47.453259  GS=0.0kts  (5576 samples)
[ 1237.7s] FPS=28.8  CPU=14.05ms  GPU=20.71ms  Lat=47.453259  GS=0.0kts  (5621 samples)
[ 1247.8s] FPS=30.1  CPU=16.70ms  GPU=16.57ms  Lat=47.453259  GS=0.0kts  (5667 samples)
[ 1257.8s] FPS=29.9  CPU=11.49ms  GPU=21.96ms  Lat=47.453259  GS=0.0kts  (5712 samples)
[ 1267.9s] FPS=32.6  CPU=17.17ms  GPU=13.51ms  Lat=47.453259  GS=0.0kts  (5758 samples)
[ 1278.1s] FPS=29.9  CPU=12.97ms  GPU=20.46ms  Lat=47.453259  GS=0.0kts  (5805 samples)
[ 1288.1s] FPS=19.9  CPU=30.07ms  GPU=20.18ms  Lat=47.453259  GS=0.0kts  (5851 samples)
[ 1298.4s] FPS=27.2  CPU=15.46ms  GPU=21.27ms  Lat=47.453259  GS=0.0kts  (5897 samples)
[ 1308.5s] FPS=19.9  CPU=26.03ms  GPU=24.23ms  Lat=47.453259  GS=0.0kts  (5942 samples)
[ 1318.5s] FPS=29.0  CPU=14.22ms  GPU=20.23ms  Lat=47.453259  GS=0.0kts  (5987 samples)
[ 1328.7s] FPS=30.1  CPU=12.63ms  GPU=20.55ms  Lat=47.453259  GS=0.0kts  (6032 samples)
[ 1338.8s] FPS=29.5  CPU=19.84ms  GPU=14.11ms  Lat=47.453259  GS=0.0kts  (6078 samples)
[ 1349.0s] FPS=31.0  CPU=8.10ms  GPU=24.20ms  Lat=47.453259  GS=0.0kts  (6124 samples)
[ 1359.1s] FPS=29.8  CPU=11.03ms  GPU=22.54ms  Lat=47.453259  GS=0.0kts  (6170 samples)
[ 1369.3s] FPS=30.4  CPU=11.59ms  GPU=21.29ms  Lat=47.453259  GS=0.0kts  (6216 samples)
[ 1379.4s] FPS=28.9  CPU=13.03ms  GPU=21.56ms  Lat=47.453259  GS=0.0kts  (6262 samples)
[ 1389.4s] FPS=28.5  CPU=14.10ms  GPU=21.03ms  Lat=47.453255  GS=0.0kts  (6308 samples)
[ 1399.5s] FPS=30.0  CPU=12.22ms  GPU=21.16ms  Lat=47.453255  GS=0.0kts  (6354 samples)
[ 1409.7s] FPS=29.1  CPU=14.21ms  GPU=20.19ms  Lat=47.453255  GS=0.0kts  (6400 samples)
[ 1419.8s] FPS=29.2  CPU=14.09ms  GPU=20.14ms  Lat=47.453255  GS=0.0kts  (6447 samples)
[ 1429.9s] FPS=31.4  CPU=10.98ms  GPU=20.87ms  Lat=47.453255  GS=0.0kts  (6492 samples)
[ 1439.9s] FPS=30.4  CPU=12.59ms  GPU=20.30ms  Lat=47.453255  GS=0.0kts  (6538 samples)
[ 1449.9s] FPS=27.0  CPU=16.00ms  GPU=21.08ms  Lat=47.453255  GS=0.0kts  (6584 samples)
[ 1460.0s] FPS=28.7  CPU=14.44ms  GPU=20.42ms  Lat=47.453255  GS=0.0kts  (6630 samples)
[ 1470.2s] FPS=29.5  CPU=12.90ms  GPU=21.03ms  Lat=47.453255  GS=0.0kts  (6676 samples)
[ 1480.3s] FPS=30.2  CPU=12.66ms  GPU=20.45ms  Lat=47.453255  GS=0.0kts  (6722 samples)
[ 1490.3s] FPS=30.1  CPU=11.85ms  GPU=21.40ms  Lat=47.453255  GS=0.0kts  (6768 samples)
[ 1500.4s] FPS=29.9  CPU=12.51ms  GPU=20.93ms  Lat=47.453255  GS=0.0kts  (6814 samples)
[ 1510.4s] FPS=28.8  CPU=14.43ms  GPU=20.32ms  Lat=47.453255  GS=0.0kts  (6860 samples)
[ 1520.5s] FPS=30.1  CPU=12.77ms  GPU=20.49ms  Lat=47.453255  GS=0.0kts  (6906 samples)
[ 1530.5s] FPS=29.0  CPU=13.62ms  GPU=20.88ms  Lat=47.453255  GS=0.0kts  (6951 samples)
[ 1540.6s] FPS=29.9  CPU=13.37ms  GPU=20.03ms  Lat=47.453255  GS=0.0kts  (6997 samples)
[ 1550.7s] FPS=32.0  CPU=9.57ms  GPU=21.64ms  Lat=47.453255  GS=0.0kts  (7043 samples)
[ 1560.7s] FPS=29.4  CPU=13.14ms  GPU=20.86ms  Lat=47.453255  GS=0.0kts  (7089 samples)
[ 1570.8s] FPS=29.2  CPU=14.65ms  GPU=19.57ms  Lat=47.453255  GS=0.0kts  (7135 samples)
[ 1581.0s] FPS=30.9  CPU=11.77ms  GPU=20.62ms  Lat=47.453255  GS=0.0kts  (7182 samples)
[ 1591.1s] FPS=32.4  CPU=9.68ms  GPU=21.20ms  Lat=47.453255  GS=0.0kts  (7228 samples)
[ 1601.2s] FPS=30.0  CPU=12.88ms  GPU=20.44ms  Lat=47.453255  GS=0.0kts  (7274 samples)
[ 1611.5s] FPS=29.4  CPU=13.23ms  GPU=20.73ms  Lat=47.453255  GS=0.0kts  (7321 samples)
[ 1621.5s] FPS=30.6  CPU=12.56ms  GPU=20.09ms  Lat=47.453255  GS=0.0kts  (7367 samples)
[ 1631.5s] FPS=28.6  CPU=14.33ms  GPU=20.59ms  Lat=47.453255  GS=0.0kts  (7413 samples)
[ 1641.6s] FPS=29.3  CPU=13.38ms  GPU=20.80ms  Lat=47.453255  GS=0.0kts  (7459 samples)
[ 1651.7s] FPS=29.5  CPU=14.00ms  GPU=19.94ms  Lat=47.453255  GS=0.0kts  (7505 samples)
[ 1661.7s] FPS=30.5  CPU=12.93ms  GPU=19.82ms  Lat=47.453255  GS=0.0kts  (7550 samples)
[ 1671.9s] FPS=29.7  CPU=13.33ms  GPU=20.35ms  Lat=47.453255  GS=0.0kts  (7596 samples)
