timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1774184725.661,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184726.681,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184727.703,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184728.731,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184729.752,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184730.770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184731.791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184732.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184733.838,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184734.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184735.879,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184736.900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184737.922,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184738.949,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184739.968,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184740.988,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184742.008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184743.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184744.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184745.076,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184746.096,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184747.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184748.135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184749.163,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184750.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184751.202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184752.223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184753.244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184754.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184755.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184756.310,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
